locus_tag	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj
BT_0001	-0.218879296575152	0.193785048482216	0.579565994432764
BT_0002	-0.348159477315019	0.146784045486117	0.502255994643174
BT_0003	0.026726793208702	0.910323748015807	NA
BT_0004	0.023396166386965	0.917426785451666	NA
BT_0005	-0.163700600549449	0.490661837032751	NA
BT_0006	0.061924811510734	0.801362290130005	NA
BT_0007	0.026288045252237	0.757567709900855	NA
BT_0008	-0.1177787251932	0.353411779451448	0.736530944436455
BT_0009	-0.068908054018737	0.796497982191366	NA
BT_0010	4.60597611414e-4	0.998599236056924	NA
BT_0011	-0.089654686273076	0.620313760274225	NA
BT_0012	-0.075584305233733	0.775121877168446	NA
BT_0013	-0.053953935550949	0.702889562953087	NA
BT_0014	-0.023047113830966	0.930882294246512	NA
BT_0015	0.024051371266743	0.922214267871925	NA
BT_0016	0.03218006877206	0.829887939196127	NA
BT_0017	0.120163929585312	0.560673933890578	NA
BT_0018	-0.016925182577487	0.939719305443987	NA
BT_0019	0.115007012286434	0.631586327919198	NA
BT_0020	0.066153334020563	0.780904263631115	NA
BT_0021	NA	NA	NA
BT_0022	-0.357194376389009	0.173929036557766	NA
BT_0023	-0.017466355671717	0.765786347423854	NA
BT_0024	-0.161471150008268	0.29963481070471	NA
BT_0025	-0.169148961946413	0.283187381596747	NA
BT_0026	0.068704980861705	0.776062897533337	NA
BT_0027	-0.19895314063321	0.454604576768712	NA
BT_0028	-0.002607076088981	0.989481026360934	NA
BT_0029	0.212129090138957	0.241295705737036	0.634854219998215
BT_0030	0.153478094546902	0.495060304475333	0.833605915359063
BT_0031	-0.098556629976529	0.709704497904925	NA
BT_0032	-0.02824172067027	0.900252973535827	NA
BT_0033	0.025249190169013	0.913419854159495	NA
BT_0034	-0.022580660753825	0.929042356703131	NA
BT_0035	-0.090715382027422	0.553302971817453	NA
BT_0036	-0.026012034940092	0.890676388882045	NA
BT_0037	1.14513520596949	9.40391329247104e-10	9.28778806595308e-8
BT_0038	1.50424994924573	4.96901967079186e-10	5.05045638206317e-8
BT_0039	0.941384570875239	1.46456181374e-4	0.003228211853303
BT_0040	1.04220238479572	6.4747190828897e-6	2.41744868615e-4
BT_0041	0.705092938055111	0.008240171868484	NA
BT_0042	1.28837691183952	1.83998064844988e-7	1.08588535365776e-5
BT_0043	0.200733480201694	0.206617083864487	NA
BT_0044	1.27075543054961	9.28191442845606e-7	4.62952222324534e-5
BT_0045	0.916338703299975	2.09681362766e-4	0.004460605269548
BT_0046	0.953936458074602	1.17535715854741e-5	4.057199852e-4
BT_0047	0.841638993229943	0.001666526320421	NA
BT_0048	1.02227823597131	1.12776585245e-4	0.002712281961025
BT_0049	1.08990421556793	1.61794300607172e-5	5.38186678111e-4
BT_0050	0.803926581182525	5.31281373299e-4	0.0096235571529830009
BT_0051	1.34466322425446	9.86146216615245e-10	9.28778806595308e-8
BT_0052	1.22658196929794	4.73857362400215e-8	3.21082238707849e-6
BT_0053	1.16086909718415	3.7413542150929e-6	1.55563807648e-4
BT_0054	1.0707882600696501	1.64638317886505e-5	5.4271315779e-4
BT_0055	0.701528938019302	0.007670806139341	0.077320880616659
BT_0056	0.763257892168292	0.001427539281404	0.020805759593549
BT_0057	0.998489545397615	5.96295510564211e-5	0.00162824274116
BT_0058	0.974753044721222	1.41977101967856e-6	6.57587615316941e-5
BT_0059	0.73761148764867	0.001729139857803	0.023839189403846
BT_0060	1.12917854621771	1.25599999401241e-7	7.78932877642609e-6
BT_0061	1.01328618965902	1.17606642308349e-7	7.41935696907323e-6
BT_0062	0.104543150539217	0.651963240311754	NA
BT_0063	0.932845155884851	3.08790607239e-4	0.006174124764404
BT_0064	1.54107015635517	6.218353924859179e-28	4.550591402211939e-25
BT_0065	1.38261236005113	1.9008437702869302e-24	1.15919789257998e-21
BT_0066	1.33652826100372	1.6804339065092e-19	7.68588457989645e-17
BT_0067	1.00980620516918	1.49412060577e-4	NA
BT_0068	1.00170606563365	1.81412568791e-4	NA
BT_0069	-0.280047313588539	0.269939717861457	0.662947478918848
BT_0070	0.377120235914916	0.016389956353061	0.133565368142202
BT_0071	-0.247751301339633	0.33284740509112	0.720644174691366
BT_0072	-0.088064006471224	0.651979631300164	0.905905807987329
BT_0073	-0.194274861128903	0.10314027960897	0.422609499540002
BT_0074	-0.137776763045703	0.264280288982528	0.659890088294897
BT_0075	-0.214094149613682	0.360580166837248	NA
BT_0076	-0.228972792804283	0.384027028264458	NA
BT_0077	-0.261223986371143	0.319121309430789	NA
BT_0078	-0.100185009500349	0.458204331787509	NA
BT_0079	0.083416606788294	0.388962557530863	NA
BT_0080	-0.049933878446498	0.474903397236191	NA
BT_0081	NA	NA	NA
BT_0082	-0.205831616569393	0.094565142513334	0.403750124219706
BT_0083	-0.056552041808341	0.553531662643503	0.866541109802265
BT_0084	-0.022863172441534	0.910345378153106	NA
BT_0085	-0.050138052846183	0.812752574536511	NA
BT_0086	-0.133433006816567	0.56596094861747	NA
BT_0087	-0.092066558913162	0.717700798203038	NA
BT_0088	9.1821502259e-4	0.990977697009755	NA
BT_0089	-0.069705393145152	0.751251546375994	NA
BT_0090	-0.131297979258547	0.595427670146896	NA
BT_0091	0.033119803682852	0.821352306922569	NA
