SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
-2.107400398	1.82025e-26	1.64186e-23	STnc890
-1.719296173	6.32722e-16	3.80477e-13	DapZ
-1.775973071	2.32576e-14	1.04892e-11	celB
-1.742682829	5.30799e-14	1.91512e-11	MicA
-1.532675785	1.33732e-13	4.02087e-11	STnc800
-1.146027848	3.78797e-13	8.59937e-11	SLnc0014
-1.385697627	3.81347e-13	8.59937e-11	sopE
-1.329897968	2.55719e-12	5.12574e-10	RybB
-1.546341143	1.048e-11	1.76115e-9	STnc1190
-1.420038169	1.07387e-11	1.76115e-9	grxA
-1.592710631	1.40319e-11	2.10947e-9	ecnB
-1.191403168	3.36874e-11	4.67478e-9	dnaJ
-1.095956121	3.97809e-11	5.12605e-9	SL1344_2610
-1.304507975	1.86667e-10	2.24499e-8	sopE2
1.5011081	5.73458e-10	6.46574e-8	SL1344_3495
-1.278537577	6.63699e-10	7.04302e-8	STnc780
-1.304876102	7.82279e-10	7.84018e-8	glnA
-1.003045238	3.24291e-9	3.07905e-7	STnc600
-1.565909372	4.02569e-9	3.63117e-7	SL1344_3963
-1.149042816	7.68002e-9	6.5975e-7	SL1344_4251
-1.408230331	1.06391e-8	8.72403e-7	SL1344_4429
-1.362460778	1.00061e-7	7.84828e-6	STnc1920
-1.249687711	1.11355e-7	8.37017e-6	SL1344_4249
-1.49608252	1.50428e-7	1.08549e-5	SL1344_4248
-0.849124455	2.8226e-7	1.95845e-5	CyaR
-1.383794076	3.07441e-7	2.04959e-5	phnA
-0.872868874	3.18118e-7	2.04959e-5	SroC
-0.819135896	1.25615e-6	7.81409e-5	ybeJ
-0.939424263	3.62837e-6	2.18186e-4	sodB
-0.842809789	5.05652e-6	2.94257e-4	asnA
-1.016439741	2.04856e-5	0.001154876	SL1344_4250
-0.792261025	2.76979e-5	0.001514151	SL1344_2984
-0.972418405	3.01342e-5	0.001598884	rpsV
-1.045445485	3.2744e-5	0.001687718	SLnc1006
0.794242644	4.53847e-5	0.002274279	hslT
-0.78023482	4.97464e-5	0.002425473	SL1344_3378
-0.795261392	5.11448e-5	0.002428032	GcvB
-0.979259838	5.72902e-5	0.002650039	SL1344_1514
-1.15522604	9.27889e-5	0.004184778	traB
-1.15522604	9.27889e-5	0.004184778	traB
-0.760530496	1.32842e-4	0.005845035	cap
-0.786627626	1.49306e-4	0.006413041	mglC
-0.757716942	1.53124e-4	0.006424077	ompD
-0.625045593	1.99713e-4	0.008188214	mglB
-0.82365402	2.75643e-4	0.011050203	gpt
-0.648814248	3.17189e-4	0.012439338	exc
-0.746221483	3.40172e-4	0.013056833	STnc770
-0.61243043	3.88498e-4	0.014601057	STnc870
-0.542425129	5.0701e-4	0.018666239	aph%283%27%27%29-Ib
0.723187925	5.81477e-4	0.020979708	cysP
-0.840272806	6.45196e-4	0.022822236	rph
-0.698024209	7.86266e-4	0.027277366	crl
-0.775861861	8.14566e-4	0.027725994	rpoE
-0.62616523	0.001336088	0.044635237	InvR
-0.883959377	0.001449598	0.04754681	SL1344_3447
-0.973820595	0.001866693	0.060134178	secG
-0.755466565	0.001926759	0.060980219	yeeA
-0.699873359	0.001967459	0.061194748	infA
-0.558630567	0.002066111	0.063173973	mglA
0.691116323	0.002648337	0.079626675	STnc1200
-0.544777626	0.002757754	0.081557172	STnc500
-0.746102867	0.002846823	0.082833365	STnc840
0.57562478	0.002922875	0.083696281	SL1344_1640
-0.531274995	0.003168648	0.089316262	MgrR
-0.593142576	0.003219668	0.089358178	rpl32
0.613505574	0.00330504	0.090227123	aspA
-0.620126743	0.003351007	0.090227123	SL1344_1392
-0.857470669	0.003829673	0.101395193	SL1344_3357
-0.599484429	0.003878198	0.101395193	nrfA
0.743095337	0.004066978	0.104100339	CrpT
-0.545527526	0.004097075	0.104100339	SL1344_2438
-0.62255937	0.004342399	0.108801227	SdsR
0.568280685	0.004624113	0.114272592	oppF
-0.466764712	0.004961237	0.120946905	RprA
-0.485932603	0.00559738	0.134635651	STnc1080
-0.614817703	0.005945947	0.141138001	purF
-0.698054897	0.007096601	0.166263221	SL1344_1739
0.584797543	0.00733397	0.169621573	SL1344_0322
0.656667935	0.00794066	0.181328485	SL1344_4239
0.449483345	0.008278038	0.186669759	grpE
0.66393724	0.008595925	0.188337843	parA
0.66393724	0.008595925	0.188337843	parA
-0.414818911	0.008721172	0.188337843	GlmZ
-0.448458847	0.008744649	0.188337843	flgL
-0.644506082	0.008769611	0.188337843	FnrS
-0.950839934	0.008936185	0.18965739	SL1344_3544
-0.486785736	0.009147809	0.189951265	yhfK
-0.583709787	0.009160621	0.189951265	rfaL
0.539530015	0.010499815	0.214563695	SL1344_2644
-0.428333297	0.010585459	0.214563695	rpsU
-0.593010513	0.011201451	0.224526868	potA
-0.47475336	0.011593882	0.229154993	argR
-0.526278303	0.011686397	0.229154993	msbA
-0.524176572	0.012208788	0.236824225	StyR-29
-0.570800904	0.012964183	0.248801985	SL1344_3704
0.52789238	0.013772738	0.261537049	fabF
-0.432276868	0.014225767	0.265001258	MicF
-0.56786547	0.014362762	0.265001258	trmU
0.407302347	0.014395855	0.265001258	pflB
-0.546714579	0.014772523	0.269188189	trkH
-0.588116982	0.015101243	0.270750475	sRNA7
-0.527480039	0.015201294	0.270750475	SL1344_3738
-0.583900831	0.015308508	0.270750475	SL1344_0419
0.414281704	0.01581052	0.276914344	rpsN
0.404695721	0.015986757	0.277308743	clpX
-0.383745675	0.017341841	0.295189446	cheW
0.540023704	0.017344834	0.295189446	yjfO
