MAPS_test_genome	MAPS_test_type	MAPS_test_start	MAPS_test_end	MAPS_test_strand	MAPS_test_p_value	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_padj	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_padj	id_lower	SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
NC_016810.1	CDS	1188287	1188613	+	2.84635e-12	10.15	NA	2.29233e-10	3.75	4.47538e-4	0.016181145	sl1344_1082	0.03604306	0.873925035	0.988871448	SL1344_1082
NC_016810.1	CDS	1581046	1581534	+	3.43003e-13	10.02	NA	4.35759e-11	2.32	0.010648996	0.098814481	sl1344_1476	NA	NA	NA	SL1344_1476
NC_016810.1	CDS	4243537	4244400	-	1.25009e-12	8.56	NA	1.19955e-10	4.33	6.40366e-6	0.001013527	sl1344_3959	NA	NA	NA	SL1344_3959
NC_016810.1	sRNA	4070922	4071037	-	2.57976e-19	8.5	NA	1.16347e-15	2.93	5.22761e-4	0.017721348	stnc3170	NA	NA	NA	STnc3170
NC_016810.1	sRNA	1915824	1916082	+	2.04708e-9	8.47	NA	5.23078e-8	0.13	0.891766921	0.960999944	stnc3640	NA	NA	NA	STnc3640
NC_016810.1	CDS	385794	386294	+	1.03218e-9	8.35	NA	2.87355e-8	-0.56	0.518239838	0.769997601	sl1344_0337	NA	NA	NA	SL1344_0337
NC_016810.1	CDS	3262534	3263007	-	7.19649e-9	8.28	NA	1.40199e-7	2.67	0.005834783	0.069709756	sl1344_3056	NA	NA	NA	SL1344_3056
NC_016810.1	CDS	2770636	2770791	+	2.54049e-8	8.24	NA	4.02728e-7	2.52	0.01914966	0.14011237000000001	sl1344_2596	NA	NA	NA	SL1344_2596
NC_016810.1	CDS	2454403	2454846	-	5.22928e-8	7.94	NA	7.11227e-7	3.31	0.00125723	0.030290257	sl1344_2313	NA	NA	NA	SL1344_2313
NC_016810.1	CDS	1602344	1602487	+	1.18614e-16	7.88	NA	1.18878e-13	4.71	5.6932e-7	2.2592e-4	rpsv	-0.972418405	3.01342e-5	0.001598884	rpsV
NC_016810.1	CDS	1990157	1990462	-	3.07894e-15	7.88	NA	1.15717e-12	0.19	0.832612715	0.937135565	sl1344_1872	-0.140645097	0.444307523	0.951670844	SL1344_1872
NC_016810.1	CDS	3936997	3937230	-	3.29927e-14	7.85	NA	6.12044e-12	-0.21	0.799360795	0.92241393	sl1344_3686	NA	NA	NA	SL1344_3686
NC_016810.1	CDS	2344418	2345065	+	9.3175e-18	7.82	NA	1.68088e-14	-0.65	0.422637022	0.698458929	narp	-0.537643565	0.022849993	0.360128785	narP
NC_016810.1	CDS	3778391	3779587	-	1.54933e-9	7.82	NA	4.12242e-8	2.53	0.006610919	0.075333214	sl1344_3553	-0.400891971	0.10072086	0.649844828	SL1344_3553
NC_016810.1	CDS	2013070	2013456	+	7.82753e-7	7.79	NA	6.79541e-6	1.2	0.347540251	0.642858934	sl1344_1896	-0.137470491	0.49180752	0.951670844	SL1344_1896
